file	context	selector	property	old_value	final_value	old_rule	final_rule
src/css/banner/02-banner-layout.css		.page:not(#__av_prio_a#__av_prio_b)	background	radial-gradient(circle at 12% 20%, rgba(80, 190, 165, 0.13), transparent 26%),     radial-gradient(circle at 86% 78%, rgba(26, 110, 98, 0.18), transparent 30%),     radial-gradient(circle at 50% 10%, rgba(184, 146, 94, 0.06), transparent 32%),     #071b21	radial-gradient(circle at 16% 12%, rgba(88, 196, 175, 0.14), transparent 26%),     radial-gradient(circle at 84% 18%, rgba(212, 183, 122, 0.08), transparent 24%),     radial-gradient(circle at 50% 88%, rgba(75, 131, 125, 0.14), transparent 30%),     linear-gradient(180deg, rgba(5, 42, 46, 0.98), rgba(3, 29, 34, 0.99))	0	5
src/css/banner/03-banner-transition.css		.banner-trending-join:not(#__av_prio_a#__av_prio_b)	background	#071b21	var(--avf-surface-top, #071b21)	1	11
src/css/banner/05-banner-final.css		body .page:not(#__av_prio_a#__av_prio_b)::after	content	""	none	1	17
src/css/com/01-comments-core.css		.av10-avatar	background	linear-gradient(145deg, color-mix(in srgb, var(--accent) 50%, #12353d), #10262c)	rgba(5, 24, 30, 0.88)	43	99
src/css/com/02-comments-layout.css		.av10-reactions	background	transparent	rgba(1, 12, 16, 0.32)	40	76
src/css/com/02-comments-layout.css		.av10-reactions	backdrop-filter	none	blur(10px)	40	76
src/css/com/03-comments-refinement.css		.av10-series-copy strong	display	-webkit-box	block	15	48
src/css/com/03-comments-refinement.css		.av10-series-copy strong	text-overflow	unset	ellipsis	15	48
src/css/com/03-comments-refinement.css		.av10-text	-webkit-line-clamp	6	4	53	82
src/css/com/03-comments-refinement.css		.av10-text	-webkit-line-clamp	5	4	71	82
src/css/com/03-comments-refinement.css		.av10-text	line-clamp	6	4	53	82
src/css/com/03-comments-refinement.css		.av10-text	line-clamp	5	4	71	82
src/css/com/03-comments-refinement.css	@media (max-width: 1510px)	.av10-text	-webkit-line-clamp	5	4	75	87
src/css/com/03-comments-refinement.css	@media (max-width: 1510px)	.av10-text	line-clamp	5	4	75	87
src/css/com/03-comments-refinement.css		.av10-series-arrow	display	grid	flex	93	101
src/css/com/04-comments-header.css		.comentarii-title-line::after	display	block	flex	3	35
src/css/com/06-comments-art.css		.av10-card::after	background	radial-gradient(circle at 84% 18%, color-mix(in srgb, var(--accent) 10%, transparent) 0 0, color-mix(in srgb, var(--accent) 18%, transparent) 0 54px, transparent 96px),     linear-gradient(112deg, transparent 0 13%, color-mix(in srgb, var(--accent) 8%, transparent) 13.3% 14.1%, transparent 14.5% 100%),     linear-gradient(126deg, transparent 0 26%, rgba(255,255,255,.03) 26.3% 27.1%, transparent 27.5% 100%),     linear-gradient(142deg, transparent 0 58%, color-mix(in srgb, var(--accent) 6%, transparent) 58.4% 59%, transparent 59.4% 100%),     repeating-linear-gradient(-21deg,       transparent 0 22px,       color-mix(in srgb, var(--accent) 3.8%, transparent) 22px 24px,       transparent 24px 62px),     repeating-linear-gradient(94deg,       transparent 0 68px,       rgba(255,255,255,.018) 68px 69px,       transparent 69px 128px)	radial-gradient(ellipse at 7% 81%,       color-mix(in srgb, var(--accent) 20%, transparent) 0 14px,       color-mix(in srgb, var(--accent) 10%, transparent) 30px,       transparent 68px),     linear-gradient(154deg,       transparent 0 67%,       color-mix(in srgb, var(--accent) 9%, transparent) 67.3% 68.2%,       transparent 68.7% 100%),     radial-gradient(circle at 84% 18%, color-mix(in srgb, var(--accent) 10%, transparent) 0 0, color-mix(in srgb, var(--accent) 18%, transparent) 0 54px, transparent 96px),     linear-gradient(112deg, transparent 0 13%, color-mix(in srgb, var(--accent) 8%, transparent) 13.3% 14.1%, transparent 14.5% 100%),     linear-gradient(126deg, transparent 0 26%, rgba(255,255,255,.03) 26.3% 27.1%, transparent 27.5% 100%),     linear-gradient(142deg, transparent 0 58%, color-mix(in srgb, var(--accent) 6%, transparent) 58.4% 59%, transparent 59.4% 100%),     repeating-linear-gradient(-21deg,       transparent 0 22px,       color-mix(in srgb, var(--accent) 3.8%, transparent) 22px 24px,       transparent 24px 62px),     repeating-linear-gradient(94deg,       transparent 0 68px,       rgba(255,255,255,.018) 68px 69px,       transparent 69px 128px)	4	17
src/css/com/06-comments-art.css		.av10-series-copy:not(#__av_prio_a#__av_prio_b)	display	block	flex	40	63
src/css/components/UPC.css		.carousel-collection.av-entertainment-shell	background	radial-gradient(circle at 50% -8%, rgba(121,235,255,.055), transparent 28%),         linear-gradient(180deg, rgba(8,25,32,.98), rgba(7,19,25,.99))	var(--avf-surface-top, #071b21)	0	244
src/css/components/UPC.css		.carousel-collection .card-back	display	flex	block	47	76
src/css/components/UPC.css		.carousel-collection .card-back	background	radial-gradient(circle at 86% 10%, rgba(191,248,255,.10), transparent 30%),         linear-gradient(155deg, #0c4d5c 0%, #12667b 48%, #0a3340 100%)	radial-gradient(circle at 92% 8%, rgba(99,255,208,.10), transparent 27%),         radial-gradient(circle at 8% 92%, rgba(82,124,229,.12), transparent 32%),         linear-gradient(155deg, #0a3945 0%, #0b5060 52%, #082d38 100%)	47	110
src/css/components/UPC.css		.carousel-collection .card-back	background	radial-gradient(circle at 86% 8%, rgba(99,255,208,.10), transparent 30%),         radial-gradient(circle at 7% 92%, rgba(121,235,255,.08), transparent 30%),         linear-gradient(155deg, #0c3d4a 0%, #0b5160 48%, #082d38 100%)	radial-gradient(circle at 92% 8%, rgba(99,255,208,.10), transparent 27%),         radial-gradient(circle at 8% 92%, rgba(82,124,229,.12), transparent 32%),         linear-gradient(155deg, #0a3945 0%, #0b5060 52%, #082d38 100%)	76	110
src/css/components/UPC.css		.carousel-collection .card-back-content	display	flex	block	54	111
src/css/components/UPC.css		.carousel-collection .card-back-meta	display	flex	grid	62	81
src/css/components/UPC.css		.carousel-collection .card-desc	-webkit-line-clamp	5	4	67	89
src/css/components/UPC.css		.carousel-collection .card-desc	line-clamp	5	4	67	89
src/css/components/UPC.css		.carousel-collection .card-back-btn	background	linear-gradient(180deg, rgba(7,27,34,.92), rgba(7,19,25,.98))	linear-gradient(110deg, #527ce5, #29b8ad)	68	91
src/css/components/UPC.css		.av-card-popover-wrap .av-popup-category	font	900 9px/1 Inter, "Segoe UI", sans-serif	900 10px/1 Inter, "Segoe UI", sans-serif	169	206
src/css/components/UPC.css		.av-card-popover-wrap .av-popup-rating	font	900 14px/1 Inter, "Segoe UI", sans-serif	900 13px/1 Inter, "Segoe UI", sans-serif	170	207
src/css/components/UPC.css		.av-card-popover-wrap .av-popup-title	align-self	start	center	171	208
src/css/components/UPC.css		.av-card-popover-wrap .av-popup-title	font	900 19.5px/1 Inter, "Segoe UI", sans-serif	900 20px/1 Inter, "Segoe UI", sans-serif	171	208
src/css/components/UPC.css		.av-card-popover-wrap .av-popup-desc p	font	750 10.1px/1.3 Inter, "Segoe UI", sans-serif	700 9.7px/1.30 Inter, "Segoe UI", sans-serif	180	217
src/css/components/footer.css		.avf-headline-top, .avf-headline-bottom	text-wrap	balance	nowrap	15	61
src/css/main/01-foundation.css		.badge	position	absolute	relative	130	131
src/css/main/02-hall-of-fame.css		.desene-wrap .a-card .a-side .bad.bad-mini	display	inline-block	block	131	184
src/css/main/03-navigation.css		.top-sugestii-panel .ts-category-track	background	linear-gradient(     135deg,     rgba(5, 20, 31, 0.64),     rgba(6, 43, 47, 0.54)   )	transparent	19	74
src/css/main/03-navigation.css		.top-sugestii-panel .ts-cat-arrow:hover	background	rgba(255, 255, 255, 0.07)	rgba(255, 255, 255, 0.05)	23	77
src/css/main/03-navigation.css		.top-sugestii-panel .ts-cat-arrow:focus-visible	outline-offset	-3px	1px	25	79
src/css/main/03-navigation.css		.top-sugestii-panel .ts-cat-main	flex-direction	column	row	26	80
src/css/main/03-navigation.css		.top-sugestii-panel .ts-score-row	flex-wrap	wrap	nowrap	46	84
src/css/main/03-navigation.css		.top-sugestii-panel .ts-score	background	rgba(0, 0, 0, 0.17)	transparent	47	85
src/css/main/03-navigation.css		.staff-activity-panel	background	rgba(8, 8, 8, 0.18)	radial-gradient(circle at 13% 4%, rgba(81, 127, 239, .74), transparent 40%),     radial-gradient(circle at 92% 20%, rgba(16, 167, 135, .64), transparent 45%),     linear-gradient(145deg, #173b81, #005f59 115%)	95	117
src/css/main/08-news-and-effects.css		.av-news-featured::after	background	radial-gradient(circle at 82% 10%, rgba(103, 231, 202, .08), transparent 35%),     linear-gradient(145deg, rgba(9, 44, 68, .97), rgba(4, 34, 47, .95))	radial-gradient(circle at 82% 10%, rgba(103, 231, 202, .08), transparent 35%),     linear-gradient(145deg, rgba(9, 44, 68, .98), rgba(4, 34, 47, .97))	3	28
